video,ground_truth,prediction,correct_words,total_words
lgbq5p.mp4,lay green by q five please,lay gred by q five please,5,6
lbby5a.mp4,lay blue by y five again,lay blue by y five again,6,6
swir3n.mp4,set white in r three now,set white in r three now,6,6
bgbe9s.mp4,bin green by e nine soon,bin green by e nine soon,6,6
pgiv9s.mp4,place green in v nine soon,place green in v nine soon,6,6
pgav9s.mp4,place green at v nine soon,place green at v nine soon,6,6
pgit8p.mp4,place green in t eight please,place green in t eight please,6,6
lrbj1p.mp4,lay red by j one please,lay red by j one please,6,6
pgwi5a.mp4,place green sp with i five again,place green ih with five again,3,7
swaazp.mp4,set white at a zero please,set white at a zero please,6,6
lgaj1s.mp4,lay green at sp j one soon,lay green at p one soon,3,7
bbad5s.mp4,bin blue at d five soon,bin blue at d five soon,6,6
bgwg4a.mp4,bin green with g four again,bin green with g four again,6,6
lgae2s.mp4,lay green at e two soon,lay green at k two soon,5,6
srwmzp.mp4,set red with m zero please,set red with m zero please,6,6
lriv5a.mp4,lay red in v five again,lay red in v five again,6,6
pwab6a.mp4,place white at b six again,place white at b sight again,5,6
pbbh6s.mp4,place blue by h six soon,place blue by h six soon,6,6
lgwe3p.mp4,lay green with e three please,lay green with e three please,6,6
brbzzp.mp4,bin red by z zero please,bin red by z zero please,6,6
srbg2a.mp4,set red by g two again,set red by g two again,6,6
bbaszp.mp4,bin blue at s zero please,bin blue at f zero please,5,6
bwaz6s.mp4,bin white at z six soon,bin white it z six soon,5,6
sgbb3p.mp4,set green by b three please,set green by b three please,6,6
prif8s.mp4,place red in f eight soon,lia red at m eight soon,3,6
lwwm1a.mp4,lay white with m one again,lay white with m one again,6,6
lway1p.mp4,lay white at y one please,lay white at y one please,6,6
lwar4a.mp4,lay white at r four again,lay white at r four again,6,6
pwbv3n.mp4,place white by v three now,place white by v three now,6,6
pgap5a.mp4,place green at sp p five again,place green at p five again,3,7
pwwo5p.mp4,place white with o five please,place white with o five please,6,6
swie7p.mp4,set white in e seven please,set white in e seven please,6,6
swwf7s.mp4,set white with f seven soon,set white with f seven soon,6,6
sraf3s.mp4,set red at f three soon,set red at f three soon,6,6
pwaa3p.mp4,place white at a three please,place white at a three please,6,6
bgbh4a.mp4,bin green by h four again,bin green by h four again,6,6
pwwv6p.mp4,place sp white with v six please,place white with v six please,1,7
lgbf6p.mp4,lay green by f six please,lay green by f six please,6,6
prbc6p.mp4,place red by c six please,place red by c six please,6,6
bwal5p.mp4,bin white at l five please,bin white at l five please,6,6
brbd9s.mp4,bin red by d nine soon,bin red by d nine soon,6,6
sbam8s.mp4,set blue at m eight soon,set blue at m eight soon,6,6
bwba2p.mp4,bin white by a two please,bin white by a two please,6,6
bbiu8s.mp4,bin blue in u eight soon,bin blue at u eight soon,5,6
lwiozs.mp4,lay white in o zero soon,lay white at o zero soon,5,6
lgak4a.mp4,lay green at k four again,lay green at k four again,6,6
prit2s.mp4,place red in t two soon,place red in t two soon,6,6
pwwi8s.mp4,place white with i eight soon,place white with i eight soon,6,6
priu1p.mp4,place red in u one please,place red in u one please,6,6
bbwf8a.mp4,bin blue with f eight again,bin blue with f eight again,6,6
sbwt5a.mp4,set blue with t five again,set blue with t five again,6,6
sbiy2n.mp4,set blue in y two now,set blue in y two now,6,6
lwwz3n.mp4,lay white with z three now,lay white with z three now,6,6
lwir2p.mp4,lay white in r two please,lay white in r two please,6,6
lgwk9s.mp4,lay green with sp k nine sp soon,lay green with l nine soon,3,8
lrac1s.mp4,lay red at c one soon,lay red at c one soon,6,6
pgip6p.mp4,place green in p six please,place green in p six please,6,6
bwiy1a.mp4,bin white in y one again,bin white in y one again,6,6
pwbi6p.mp4,place white by i six please,place white by i six please,6,6
pbwg2s.mp4,place blue with g two soon,place blue it t two soon,4,6
swan2a.mp4,set white at n two again,set white at n two again,6,6
srauzn.mp4,set red at u zero now,set red at u zero now,6,6
pbia3s.mp4,place blue in a three soon,place p blue in n three soon,1,6
swbl8n.mp4,set white by l eight now,set white by l eight now,6,6
sbbn2n.mp4,set blue by n two now,set blue by n two now,6,6
prin5n.mp4,place red in n five now,place red in n five now,6,6
lbwc7n.mp4,lay blue with c seven now,lay blue with c seven now,6,6
swwm2s.mp4,set white with m two soon,set white with m two soon,6,6
priv2s.mp4,place red in v two soon,place red at v two soon,5,6
lrwk4s.mp4,lay red with k four soon,lay red with k four soon,6,6
lrau5s.mp4,lay red at u five soon,lay red at u five soon,6,6
bgbf1p.mp4,bin green by f one please,bin green by f one please,6,6
pwav3a.mp4,place white at v three again,place white at v three again,6,6
lgwr8n.mp4,lay green with r eight now,lay green with r eight now,6,6
swbh4p.mp4,set white by h four please,set white by h four please,6,6
lrbx7p.mp4,lay red by x seven please,lay red by x seven please,6,6
bbip4s.mp4,bin blue in p four soon,bin blue in p four soon,6,6
pgig9a.mp4,place green in g nine again,place green at g nine again,5,6
bgar2s.mp4,bin green at r sp two soon,bin green at s two soon,3,7
lwbc6s.mp4,lay white by c six soon,lay white by c six soon,6,6
prbc9a.mp4,place red by c nine again,place red by c nine again,6,6
lrwo8s.mp4,lay red with o eight soon,lay red with o eight soon,6,6
bgwl5s.mp4,bin green sp with l five soon,bin green with l five soon,2,7
lwai2p.mp4,lay white at i two please,lay white an i two please,5,6
brbz1a.mp4,bin red by z one again,bin red by z one again,6,6
brws1a.mp4,bin red with s one again,bin red with s one again,6,6
lgik9a.mp4,lay green in k nine again,lay green in k nine again,6,6
sbwy7p.mp4,set blue with y seven please,set blue with y seven please,6,6
pbwh3a.mp4,place blue with h three again,place blue with h three again,6,6
bgil8s.mp4,bin green in l eight soon,bin green in f eight soon,5,6
prbj4s.mp4,place red by j four soon,place red by j four soon,6,6
sbat6a.mp4,set blue at t six again,set blue at t six again,6,6
pgij4p.mp4,place green in j four please,place green in j four please,6,6
swas2n.mp4,set white at s two now,set white at f two now,5,6
lwbq2s.mp4,lay white by q two soon,lay white by o two soon,5,6
lbwq1a.mp4,lay blue with sp q one again,lay blue with p one again,3,7
brwk8s.mp4,bin red with k eight soon,bin red with k eight soon,6,6
lgbz5a.mp4,lay green by z five again,lay green by z five again,6,6
sraz8n.mp4,set red at z eight now,set red at z eight now,6,6
lrbj8p.mp4,lay red by j eight please,lay red by j eight please,6,6
